Company,Company_Score,Job_Title,Location,Date_Posted,Salary_Range
Lyft,3.7,Mobile Developer,"Philadelphia, PA",2025-02-26,$162K – $220K
ViewSoft,3.6,Engineering Manager,,2025-03-19,$124K – $160K
Garmin International,4.3,Systems Engineer,"Minneapolis, MN",2025-03-08,$109K – $138K
MongoDB,3.8,Applied Scientist,,2025-03-02,$168K – $213K
Noblis,3.5,Product Manager,,2025-03-25,$79K – $139K
NVIDIA,3.8,Research Scientist,"Denver, CO",2025-03-08,$117K – $165K
Redis,3.7,Applied Scientist,,2025-03-15,$84K – $111K
Qualcomm,4.7,Sales Engineer,"Phoenix, AZ",2025-02-02,$130K – $178K
Airbnb,3.3,Backend Engineer,"Austin, TX",2025-03-12,$75K – $129K
Databricks,3.1,DevOps Engineer,"Phoenix, AZ",2025-03-11,$171K – $197K
Stripe,3.1,Systems Engineer,"Portland, OR",2025-03-11,$162K – $189K
AMD,3.4,Mobile Developer,"Dallas, TX",2025-03-29,$146K – $172K
New Relic,4.1,UX Designer,"Pittsburgh, PA",2025-03-23,$144K – $194K
Meta,4.1,Solutions Architect,"Detroit, MI",2025-02-22,$141K – $171K
Google,4.4,Site Reliability Engineer,"Phoenix, AZ",2025-02-21,$102K – $127K
Oracle,4.3,UX Designer,"Dallas, TX",2025-01-31,$138K – $160K
Splunk,3.3,Backend Engineer,"San Jose, CA",2025-02-10,$175K – $233K
Airbnb,3.3,Data Engineer,"Austin, TX",2025-03-22,$118K – $138K
Databricks,3.9,Site Reliability Engineer,"Salt Lake City, UT",2025-02-22,$162K – $204K
New Relic,3.8,Cloud Architect,"Dallas, TX",2025-03-19,$125K – $175K
Salesforce,4.2,Support Engineer,"Atlanta, GA",2025-02-14,$66K – $104K
LinkedIn,2.8,Technical Writer,"Washington, DC",2025-02-20,$151K – $202K
Workiva,2.6,Support Engineer,"Pittsburgh, PA",2025-04-01,$180K – $222K
Amazon,3.9,Security Engineer,"Detroit, MI",2025-03-04,$175K – $228K
Microsoft,3.7,Sales Engineer,"Houston, TX",2025-02-23,$157K – $210K
Google,4.3,Software Engineer,"San Francisco, CA",2025-03-29,$97K – $139K
Workiva,2.9,Data Analyst,"Minneapolis, MN",2025-03-21,$94K – $133K
Google,3.2,Mobile Developer,,2025-03-08,$136K – $185K
Lyft,3.4,Applied Scientist,,2025-02-08,$130K – $169K
AMD,4.0,Cloud Architect,"Portland, OR",2025-03-08,$169K – $219K
Palantir,4.0,Data Engineer,"Boston, MA",2025-03-16,$180K – $230K
NVIDIA,4.4,Sales Engineer,"Denver, CO",2025-02-10,$149K – $175K
Lyft,3.8,Mobile Developer,"Portland, OR",2025-03-29,$138K – $164K
Workiva,4.3,QA Engineer,"Chicago, IL",2025-03-03,$103K – $133K
Databricks,4.2,Systems Engineer,"San Diego, CA",2025-03-12,$145K – $171K
Twilio,3.9,Applied Scientist,"Dallas, TX",2025-03-19,$94K – $149K
Airbnb,4.3,QA Engineer,"Houston, TX",2025-03-15,$116K – $140K
Uber,4.7,Engineering Manager,"Pittsburgh, PA",2025-03-01,$170K – $199K
Snapchat,4.5,Site Reliability Engineer,"Raleigh, NC",2025-02-24,$177K – $215K
Databricks,3.8,Frontend Developer,"San Jose, CA",2025-02-22,$149K – $186K
Airbnb,4.0,Backend Engineer,"New York, NY",2025-03-04,$91K – $140K
Megaport,4.1,Product Manager,"New York, NY",2025-02-13,$154K – $197K
MIT,3.1,Applied Scientist,"Seattle, WA",2025-02-08,$78K – $102K
Megaport,3.6,Data Engineer,Remote,2025-02-08,$122K – $148K
Snapchat,3.3,Data Engineer,"Chicago, IL",2025-03-11,$157K – $201K
